Nro Vuelo,Origen,Destino,Tipo Asiento,Precio por persona,Fecha ida,Fecha Vuelta
BAPI-1235,Buenos Aires,Puerto Iguazú,Economy,$6.500,10/02/2021,15/02/2021
PIBA-1420,Puerto Iguazú,Bogotá,Business,$43.200,10/02/2021,20/02/2021
PIBA-1420,Puerto Iguazú,Bogotá,Economy,$25.735,10/02/2021,21/02/2021
BATU-5536,Buenos Aires,Tucumán,Economy,$7.320,10/02/2021,17/02/2021
TUPI-3369,Tucumán,Puerto Iguazú,Business,$12.530,12/02/2021,23/02/2021
TUPI-3369,Tucumán,Puerto Iguazú,Economy,$5.400,02/01/2021,16/01/2021
BOCA-4213,Bogotá,Cartagena,Economy,$8.000,23/01/2021,05/02/2021
CAME-0321,Cartagena,Medellín,Economy,$7.800,23/01/2021,31/01/2021
BOBA-6567,Bogotá,Buenos Aires,Business,$57.000,15/02/2021,28/02/2021
BOBA-6567,Bogotá,Buenos Aires,Economy,$39.860,01/03/2021,14/03/2021
BOME-4442,Bogotá,Medellín,Economy,$11.000,10/02/2021,24/02/2021
MEPI-9986,Medellín,Puerto Iguazú,Business,$41.640,17/04/2021,02/05/2021